vizType,Bar Error,Pie Error,Stacked Bar Error
Bar,2.357552005,1.087462841,3.189824559
Bar,0.169925001,3.339850003,4.257387843
Bar,3.022367813,2.614709844,3.022367813
Bar,1.64385619,1.64385619,3.339850003
Bar,1.087462841,3.714245518,3.339850003
Bar,2.044394119,1.64385619,4.257387843
Bar,0.169925001,2.357552005,3.022367813
Bar,2.044394119,2.357552005,1.087462841
Bar,1.087462841,2.044394119,1.087462841
Bar,1.087462841,0.169925001,1.64385619
Bar,0.169925001,3.820178962,4.864186145
Bar,2.832890014,2.357552005,0.169925001
Bar,2.357552005,2.044394119,1.087462841
Bar,0.169925001,4.46760555,4.912889336
Bar,3.189824559,5.13442632,3.339850003
Pie,,3.820178962,2.832890014
Pie,,,
Pie,,,
Pie,,,
Pie,,,
Pie,,,
Pie,,,
Pie,,,
Pie,,,
Pie,,,
Pie,,,
Pie,,,
Pie,,,
Pie,,,
Pie,,,
Pie,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
Stacked Bar,,,
